Distance (miles),Date,Magnitude,Start Lat/Log,End Lat/Log,Length,Width,Fatalities,Injuries,Property Damage,Crop Damage,Affected County
,,"Brief Description: M25MH The Pedernales Valley tornado began on the shore of Lake Travis destroying trees and a floating marina where nearly all of the watercraft were destroyed. While numerous trees were twisted and uprooted in this area, several structures sustained only what appeared to be minor damage that would be no more than F0. The tornado was initially moving westward as it moved into rough terrain. A number of structures sustained varying damage until the tornado reached Bee Creek Road. At that location, a Southwest Bell building housing telephone switching equipment was destroyed. The building was well constructed and was one of several buildings which indicated at F4 rating for this tornado. Bee Creek Road takes a bend close to the telephone building and across the street a house was destroyed with walls knocked down. Approximately 2.2 miles from the lake, the tornado path takes a distinct dog leg turn toward the southwest. The point at which this dog-leg turn occurred also corresponds with a knoll. Trees and buildings at the top of the knoll were destroyed. After the dog-leg turn, the tornado assumed a heading of 250 degrees and crossed a major power distribution line. One steel tower was destroyed bringing all lines to the ground. The tornado remained on the 250 degree heading moving through the area described as the Hazy Hills subdivision. Numerous houses and several mobile homes were totally destroyed. Several houses survived but sustained major damage making them totally uninhabitable. The only death associated with this tornado occurred here when one man was killed. He lived in a mobile home that was demolished and his vehicle was tossed several hundred feet. Other survey team members were unable to learn whether he was in the mobile home or had left it to drive away. The tornado continued west-southwest moving across State Road (SR) 71. A number of well built homes in the Hazy Hills subdivision were heavily damaged or destroyed. Crossing SR 71, the tornado moved into another subdivision with widely separated houses in the Lick Creek valley, a steep walled creek that feeds into the Pedernales River. One stone-walled house located just north of Pedernales Drive and west of SR 71 was completely deroofed. Other structures in this subdivision sustained roof damage in the F2 range. After following the terrain into the creek it climbed another rise in the land before ending shortly after passing the crest of the small hill. As the tornado ended, damage was minimal to trees.",,,,,,,,,
15,5/27/1997,3,30°33'N / 97°49'W,30°29'N / 97°50'W,5.60 Miles,200 Yards,0,15,70.0M,50K,Williamson
,,"Brief Description: The Cedar Park tornado formed around 3:05 pm CST from a different supercell thunderstorm. It first touched down about 3.5 miles north of Cedar Park at a location 0.6 miles south of CR 178 and 1.4 miles east of the intersection of US 183 and CR 178. The initial damage was to trees, however, the ground survey revealed damage nearby to a church and a trucking company. The aerial survey did not reflect this damage as being in line with the damage path. It is quite possible this damage was caused by strong wind near the tornado. The beginning point was in a relatively open area with damage primarily to a few trees and minor shingle damage to one house. The tornado moved south-southwestward skirting a residential area before it crossed CR 180 immediately east of US 183. A historic train located on the north side of CR 180 just to the east of US 183 was in the direct path of the tornado. While the engine remained on the track, a coal tender converted to hold diesel fuel and weighing approximately 65,000 pounds including the 1,000 gallons of diesel fuel was flipped over and thrown a short distance. Continuing across CR180, it entered a shopping center where it weakened and pushed inward slightly the north wall of a grocery store. It also pushed large metal doors inward that were built to open toward the outside. Damage at this point had been generally F2 with brief F3 as the tornado knocked the train tender off the track and damaged the wall and doors of the food store. It tore off much of a weakly supported roof of a grocery store. The manager of the store, who had been a victim of the Wichita Falls Tornado of 1979, saw the approaching tornado, and made an announcement to all in the store to meet him in the middle of the store. He then led everyone he could gather into the meat locker. This very quick and decisive action probably saved several lives. The tornado crossed US 183 causing additional damage to a number of businesses. One business on the west side of US 183 lost nearly the entire roof. Most damage to other businesses was believed to be minor. After crossing US 183 the tornado moved across Marquis Lane and North Park Circle moving through an area with widely scattered housing and a relative abundance of trees. Again, most damage to structures in this area was minor. From North Park Circle the tornado moved into the northwestern portion of Buttercup Creek, a subdivision of well constructed homes. Damage to homes was irregular with one house losing a roof but the house next door losing only shingles. Two homes in the area were nearly destroyed an one damaged when a pickup truck was lifted and tossed against its front wall. Eleven homes were destroyed, with damage reported to over 100 homes. The damage level ranged from F0 to F2. At this point, the tornado track was taking a gentle right turn as the tornado track became more southwesterly. The tornado moved into a wooded area crossing into Travis County before ending 1.1 miles from Lake Travis. Damage in the wooded area was irregular ranging from near total destruction of all trees to sections with about 10 percent of the trees down.",,,,,,,,,
15.2,3/31/1957,2,30°30'N / 97°38'W,,0.10 Mile,10 Yards,0,0,25K,0,Travis
16.1,4/7/1980,3,30°29'N / 97°36'W,30°27'N / 97°31'W,5.70 Miles,33 Yards,0,3,250K,0,Travis
17.1,4/26/1964,2,30°33'N / 97°42'W,,1.00 Mile,17 Yards,0,0,3K,0,Williamson
19.7,4/22/1985,2,30°02'N / 97°51'W,,0.50 Mile,50 Yards,0,0,250K,0,Hays
20.9,3/16/2000,2,30°36'N / 97°51'W,30°36'N / 97°50'W,1.50 Miles,200 Yards,0,0,300K,0,Williamson
,,"Brief Description: A strong weather system produced scattered showers and thunderstorms over Central Texas on the afternoon of Thursday March 16. Funnel clouds were first reported by the public and by the Leander Police Department near 4 pm that afternoon. A small, short-lived F0 tornado struck near the police station near 4 pm, with no significant damage. Shortly after 4 pm, another rope-shaped funnel was observed west of Leander. Photographs of this developing tornado indicate a generally-long and rope-shaped structure that slowly twisted and wound its way to the surface. The tornado touched down in the western part of Mason Creek Subdivision located on the west side of Leander and moved slowly eastward. Damage near the tornado touchdown was F0 level approaching F1. It damaged eaves of roofs, took shingles off roofs and knocked down large tree branches. More significant damage was noted along Greening Way and Mason Creek Boulevard in the west and central part of the subdivision, where several large trees of over 1 foot diameter were uprooted. This indicated damage in the lower levels of the F2 scale. In addition, the tornado had destroyed approximately 30 percent of one home. Again, this indicated minimal F2-level damage. The tornado began to lift as it approached Old Bagdad Road on the eastern side of the subdivision. Most of the damage in this part of the subdivision was at the F0 level. In all, the tornado damaged 24 homes and several outbuildings. The tornado was estimated at 200 yards wide with a path length of 1.5 mile.",,,,,,,,,
20.9,4/30/1954,3,30°25'N / 97°27'W,30°26'N / 97°25'W,3.00 Miles,880 Yards,0,0,0K,0,Travis
21.2,3/30/1976,2,30°02'N / 97°55'W,,2.50 Miles,200 Yards,0,1,250K,0,Hays
22.1,12/10/1985,2,30°35'N / 97°40'W,30°39'N / 97°39'W,5.00 Miles,100 Yards,0,2,2.5M,0,Williamson
23.5,4/7/1980,3,30°27'N / 97°31'W,30°23'N / 97°15'W,16.50 Miles,33 Yards,0,0,250K,0,Bastrop
25.4,2/10/1981,2,30°40'N / 97°40'W,,0.80 Mile,100 Yards,0,0,250K,0,Williamson
25.7,4/24/1957,3,30°16'N / 97°22'W,30°23'N / 97°17'W,9.60 Miles,880 Yards,0,1,250K,0,Bastrop
26.5,10/30/1974,2,30°41'N / 97°40'W,,1.80 Miles,200 Yards,0,0,0K,0,Williamson
27.7,4/14/1977,2,30°34'N / 97°54'W,30°50'N / 97°48'W,19.40 Miles,33 Yards,0,0,250K,0,Williamson
28.2,3/30/1976,2,30°00'N / 98°04'W,,1.00 Mile,100 Yards,0,0,25K,0,Hays
28.2,11/12/1961,2,29°54'N / 97°43'W,,1.00 Mile,433 Yards,0,0,25K,0,Caldwell
29,2/25/1971,2,29°53'N / 97°40'W,29°57'N / 97°29'W,11.90 Miles,50 Yards,0,0,0K,0,Caldwell
29.7,9/4/1956,2,30°38'N / 97°39'W,30°09'N / 96°53'W,56.60 Miles,250 Yards,0,0,25K,0,Williamson
30.5,4/24/1957,3,30°23'N / 97°17'W,30°26'N / 97°14'W,5.10 Miles,880 Yards,0,0,250K,0,Williamson
30.6,4/30/1954,3,30°26'N / 97°25'W,30°37'N / 97°12'W,18.10 Miles,880 Yards,0,6,250K,0,Williamson
31,8/10/1980,2,29°54'N / 97°52'W,29°54'N / 98°05'W,13.10 Miles,200 Yards,0,20,25.0M,0,Caldwell
31.4,4/7/1980,3,30°23'N / 97°15'W,30°21'N / 97°13'W,3.00 Miles,33 Yards,0,0,250K,0,Lee
32,8/10/1980,2,30°00'N / 97°10'W,30°05'N / 97°28'W,18.80 Miles,77 Yards,0,0,0K,0,Bastrop
32.2,11/12/1961,2,29°52'N / 97°56'W,,,,0,0,3K,0,Hays
32.6,8/28/1965,2,29°51'N / 97°37'W,,0.50 Mile,33 Yards,0,0,0K,0,Caldwell
33.8,7/28/1978,2,30°36'N / 97°18'W,,0.50 Mile,30 Yards,0,0,25K,0,Williamson
34.1,5/27/1997,5,30°49'N / 97°37'W,30°46'N / 97°40'W,5.10 Miles,650 Yards,27,12,40.0M,100K,Williamson
,,"Brief Description: F34PH, M15PH, F13PH, F37PH, M11PH, M46PH, F45PH, F17PH, M15PH, M15PH, M41PH, F40PH, M40PH, F40PH, M16PH, F15PH, F44PH, M5PH, M22PH, F50PH, M15PH, M14PH, F36PH, F13PH, F10PH, F36PH, M16PH Several eyewitnesses reported that the Jarrell tornado was preceded for a period of 8 to 10 minutes by a series of short-lived very small tornadoes that formed from the same supercell thunderstorm. These touched down, then dissipated in order. The first tornado in Williamson County formed near 2:25 pm CST and built rapidly to F2 strength. It survived for approximately 8 minutes, often returning briefly to a roped and tilted feature before it died. This tornado was followed by a second that formed near 2:35 pm CST. It built quickly into a multi-vortex tornado that appeared to be near F2 strength as well. This dissipated after only 4 minutes. The final tornado from this same supercell, , the Jarrell Tornado, developed as a small...rope-shaped tornado, touching down around 2:40 pm CST inside the Williamson County line northwest of Jarrell. From film and eyewitness accounts, it expanded quickly into a very large vortex nearly 1/2 mile in width. Observations recounted by eyewitnesses indicated that the damage path may not have been made strictly by one tornado. A number of eyewitnesses reported seeing several small, rope-like funnels before the character of the tornado changed drastically into the killer tornado. Ground damage patterns in the Double Creek Subdivision also suggested this possibility. The tornado crossed CR 308, CR 305, and then CR 307. Where the tornado crossed each of these county roads, approximately 525 feet of asphalt was ripped off each of the roadways. This particular destruction was believed to be very close to the centerline of the tornado circulation. As the tornado crossed the intersection of CR 305 and 307, a business on the corner was destroyed. The tornado moved into the Double Creek area at this point with total destruction. F5 destruction continued from shortly after its formation until very close to the end of the damage path. The tornado began a brief turn toward the southeast as it entered the Double Creek subdivision and the surrounding area, moving very slowly. It reached the subdivision at 3:48 pm. This time is based on a clock found at a destroyed residence in the extreme northwest corner of the subdivision and the home believed to be the first struck by the tornado. Here, it widened to it maximum width of three-quarters of a mile. From the air, the ground appearance changed abruptly in the vicinity of CR 308 and continued until very near the end of the path. No definitive circulation patterns or suction spots were evident, but there was the noted obvious change in the appearance of the ground. In the Double Creek area, approximately 40 structures were totally destroyed. One of the most striking signs in approaching this area was the distinct lack of debris of any size. Closer inspection showed lots of little debris but no sign of large items. It was estimated that several dozen vehicles had been in the subdivision and removed by the tornado. Nearly 300 cattle grazing in a pasture near the subdivision were also killed, with many of them tossed and blown for over 1/4 mile. At least half a dozen cars were identified from the air lying in the open areas, most of them flattened and encrusted with mud and grass. Trees in the subdivision were completely stripped of bark. Later ground survey revealed that most of the debris that was left in the area was extremely small indicating the power of the tornadic wind. All 27 deaths associated with the Jarrell tornado occurred in the Double Creek area. Eyewitnesses reported that it appeared to have slowed down as it entered the subdivision, and that may account for the nearly total destruction that took place. After passing through the Double Creek area, the tornado shifted its track again slightly, moving toward the south-southwest across CR 309 and into a heavily wooded area of cedar trees. The total destruction of the tornado ends abruptly shortly after entering the wooded area. However, a small swath of tree damage on the north side of the main damage path suggested the possibility of a multiple vortex pattern. No other evidence of multiple vortices was observed. The sequence of weather phenomenon reported with this tornado was exactly opposite of that often reported- the tornado first appeared, followed by nearly calm conditions, then hail, followed by rain and finally brief, gusty winds. This is attributed to the fact that the parent supercell was moving toward the southwest for most of its life. The storm essentially ""backed into"" the area as it moved.",,,,,,,,,
34.5,4/15/1965,2,29°51'N / 97°31'W,29°54'N / 97°25'W,6.90 Miles,50 Yards,0,0,0K,0,Caldwell
34.6,5/17/1989,3,30°46'N / 97°37'W,30°49'N / 97°36'W,3.00 Miles,1700 Yards,1,28,2.5M,0,Williamson
35,5/13/1994,3,30°34'N / 98°16'W,30°36'N / 98°14'W,3.50 Miles,800 Yards,0,1,5.0M,50K,Burnet
,,"Brief Description: The storm approached the city from the west-southwest. There were unconfirmed reports of funnels in the Horseshoe Bay area, four miles southwest of Marble Falls, before the storm arrived. Spotty damage was reported to roofs in the Horseshoe Bay area. The tornado first struck the west side of the city, crossing a heavy commercialized and residential area. Roofs were severely damaged at this time with several structures sustaining F1 and F2 damage. Several boats at a dealership were tossed on top of each other. Two-by-four's were embedded into the side of a church preschool care center, penetrating an inside classroom wall by four to five feet. Fortunately, all children had been moved into hallways just before the tornado arrived. Numerous commerical signs were down with widespread roof damage. This damage became even more extensive as the tornado moved across the northern part of the city. Marble Falls primary school also sustained damage, but students had been evacuated to the main school. Trees were uprooted on the school grounds and damage was reported to outbuildings. Metal I-beams were bent at a nearby metal building, indicating F2 to F3 damage. Three nearby semi-tractor trailer delivery trucks and a bread delivery truck were overturned. Two of these trucks were reported to have been lifted ""two to three feet off of the ground"" as they were overturned. At a nearby Wal-Mart department store 100 to 200 employees had taken shelter, having practiced their severe weather drill the day before. The store was hit and severely damaged, with the employees sustaining only a few minor injuries. Additional roof damage was reported at Marble Falls High School. Students had just executed a tornado drill as the storm struck. There was extensive peeling of metal from the auditorium and gymnasium roofs. In summary, over 440 homes sustained damage, with one house and 17 mobile homes destroyed and major damage to 36 homes. Eighteen businesses reported major damage with 47 others reporting minor damage. In addition, two bridges were damaged, along with severe damage to schools. In all, 512 structures sustained damage.",,,,,,,,,
36.3,8/10/1980,2,29°54'N / 98°05'W,30°06'N / 98°25'W,24.20 Miles,33 Yards,0,0,25.0M,0,Hays
36.4,5/18/1966,2,30°50'N / 97°48'W,30°50'N / 97°48'W,,,0,0,0K,0,Williamson
36.7,5/27/1997,2,30°50'N / 97°37'W,30°49'N / 97°37'W,0.50 Mile,150 Yards,0,0,0K,0K,Williamson
,,"Brief Description: Several eyewitnesses reported that the Jarrell tornado was preceded for a period of 8 to 10 minutes by a series of short-lived very small tornadoes that formed from the same supercell thunderstorm. These touched down, then dissipated in order. The first tornado in Williamson County formed near 2:25 pm CST and built rapidly to F2 strength. It survived for approximately 8 minutes, often returning briefly to a roped and tilted feature before it died. This tornado was followed by a second that formed near 2:35 pm CST. It built quickly into a multi-vortex tornado that appeared to be near F2 strength as well. This dissipated after only 4 minutes. The final tornado from this same supercell, , the Jarrell Tornado, developed as a small...rope-shaped tornado, touching down around 2:40 pm CST inside the Williamson County line northwest of Jarrell. From film and eyewitness accounts, it expanded quickly into a very large vortex nearly 1/2 mile in width. Observations recounted by eyewitnesses indicated that the damage path may not have been made strictly by one tornado. A number of eyewitnesses reported seeing several small, rope-like funnels before the character of the tornado changed drastically into the killer tornado. Ground damage patterns in the Double Creek Subdivision also suggested this possibility. The tornado crossed CR 308, CR 305, and then CR 307. Where the tornado crossed each of these county roads, approximately 525 feet of asphalt was ripped off each of the roadways. This particular destruction was believed to be very close to the centerline of the tornado circulation. As the tornado crossed the intersection of CR 305 and 307, a business on the corner was destroyed. The tornado moved into the Double Creek area at this point with total destruction. F5 destruction continued from shortly after its formation until very close to the end of the damage path. The tornado began a brief turn toward the southeast as it entered the Double Creek subdivision and the surrounding area, moving very slowly. It reached the subdivision at 3:48 pm. This time is based on a clock found at a destroyed residence in the extreme northwest corner of the subdivision and the home believed to be the first struck by the tornado. Here, it widened to it maximum width of three-quarters of a mile. From the air, the ground appearance changed abruptly in the vicinity of CR 308 and continued until very near the end of the path. No definitive circulation patterns or suction spots were evident, but there was the noted obvious change in the appearance of the ground. In the Double Creek area, approximately 40 structures were totally destroyed. One of the most striking signs in approaching this area was the distinct lack of debris of any size. Closer inspection showed lots of little debris but no sign of large items. It was estimated that several dozen vehicles had been in the subdivision and removed by the tornado. Nearly 300 cattle grazing in a pasture near the subdivision were also killed, with many of them tossed and blown for over 1/4 mile. At least half a dozen cars were identified from the air lying in the open areas, most of them flattened and encrusted with mud and grass. Trees in the subdivision were completely stripped of bark. Later ground survey revealed that most of the debris that was left in the area was extremely small indicating the power of the tornadic wind. All 27 deaths associated with the Jarrell tornado occurred in the Double Creek area. Eyewitnesses reported that it appeared to have slowed down as it entered the subdivision, and that may account for the nearly total destruction that took place. After passing through the Double Creek area, the tornado shifted its track again slightly, moving toward the south-southwest across CR 309 and into a heavily wooded area of cedar trees. The total destruction of the tornado ends abruptly shortly after entering the wooded area. However, a small swath of tree damage on the north side of the main damage path suggested the possibility of a multiple vortex pattern. No other evidence of multiple vortices was observed. The sequence of weather phenomenon reported with this tornado was exactly opposite of that often reported- the tornado first appeared, followed by nearly calm conditions, then hail, followed by rain and finally brief, gusty winds. This is attributed to the fact that the parent supercell was moving toward the southwest for most of its life. The storm essentially ""backed into"" the area as it moved.",,,,,,,,,
36.9,11/5/1994,2,30°25'N / 97°09'W,,2.00 Miles,100 Yards,0,0,10K,0,Lee
,,"Brief Description: A trailer home was destoyed 1 mile north of the town of Blue. The tornado lifted the mobile home and dropped it 25 feet away. A 13-year old boy was eating supper in the mobile home alone as the tornado struck. He described a sound ""like a freight train"", with the trailer beginning to rock back and forth. He remembered hitting the floor and ceiling as the mobile home was rolled over and destroyed. He was found uninjured amid the debris. At 1845CST the Sheriff's Department reported trees downed just southeast of Blue.",,,,,,,,,
37.3,5/6/1969,3,30°17'N / 98°24'W,30°29'N / 98°21'W,14.20 Miles,100 Yards,0,0,25K,0,Blanco
37.8,5/6/1969,3,30°29'N / 98°21'W,30°35'N / 98°19'W,7.20 Miles,100 Yards,0,0,25K,0,Burnet
38.5,5/27/1997,2,30°52'N / 97°36'W,30°50'N / 97°37'W,2.00 Miles,200 Yards,0,0,0K,0K,Williamson
,,"Brief Description: Several eyewitnesses reported that the Jarrell tornado was preceded for a period of 8 to 10 minutes by a series of short-lived very small tornadoes that formed from the same supercell thunderstorm. These touched down, then dissipated in order. The first tornado in Williamson County formed near 2:25 pm CST and built rapidly to F2 strength. It survived for approximately 8 minutes, often returning briefly to a roped and tilted feature before it died. This tornado was followed by a second that formed near 2:35 pm CST. It built quickly into a multi-vortex tornado that appeared to be near F2 strength as well. This dissipated after only 4 minutes. The final tornado from this same supercell, , the Jarrell Tornado, developed as a small...rope-shaped tornado, touching down around 2:40 pm CST inside the Williamson County line northwest of Jarrell. From film and eyewitness accounts, it expanded quickly into a very large vortex nearly 1/2 mile in width. Observations recounted by eyewitnesses indicated that the damage path may not have been made strictly by one tornado. A number of eyewitnesses reported seeing several small, rope-like funnels before the character of the tornado changed drastically into the killer tornado. Ground damage patterns in the Double Creek Subdivision also suggested this possibility. The tornado crossed CR 308, CR 305, and then CR 307. Where the tornado crossed each of these county roads, approximately 525 feet of asphalt was ripped off each of the roadways. This particular destruction was believed to be very close to the centerline of the tornado circulation. As the tornado crossed the intersection of CR 305 and 307, a business on the corner was destroyed. The tornado moved into the Double Creek area at this point with total destruction. F5 destruction continued from shortly after its formation until very close to the end of the damage path. The tornado began a brief turn toward the southeast as it entered the Double Creek subdivision and the surrounding area, moving very slowly. It reached the subdivision at 3:48 pm. This time is based on a clock found at a destroyed residence in the extreme northwest corner of the subdivision and the home believed to be the first struck by the tornado. Here, it widened to it maximum width of three-quarters of a mile. From the air, the ground appearance changed abruptly in the vicinity of CR 308 and continued until very near the end of the path. No definitive circulation patterns or suction spots were evident, but there was the noted obvious change in the appearance of the ground. In the Double Creek area, approximately 40 structures were totally destroyed. One of the most striking signs in approaching this area was the distinct lack of debris of any size. Closer inspection showed lots of little debris but no sign of large items. It was estimated that several dozen vehicles had been in the subdivision and removed by the tornado. Nearly 300 cattle grazing in a pasture near the subdivision were also killed, with many of them tossed and blown for over 1/4 mile. At least half a dozen cars were identified from the air lying in the open areas, most of them flattened and encrusted with mud and grass. Trees in the subdivision were completely stripped of bark. Later ground survey revealed that most of the debris that was left in the area was extremely small indicating the power of the tornadic wind. All 27 deaths associated with the Jarrell tornado occurred in the Double Creek area. Eyewitnesses reported that it appeared to have slowed down as it entered the subdivision, and that may account for the nearly total destruction that took place. After passing through the Double Creek area, the tornado shifted its track again slightly, moving toward the south-southwest across CR 309 and into a heavily wooded area of cedar trees. The total destruction of the tornado ends abruptly shortly after entering the wooded area. However, a small swath of tree damage on the north side of the main damage path suggested the possibility of a multiple vortex pattern. No other evidence of multiple vortices was observed. The sequence of weather phenomenon reported with this tornado was exactly opposite of that often reported- the tornado first appeared, followed by nearly calm conditions, then hail, followed by rain and finally brief, gusty winds. This is attributed to the fact that the parent supercell was moving toward the southwest for most of its life. The storm essentially ""backed into"" the area as it moved.",,,,,,,,,
40.5,11/17/1971,2,30°26'N / 97°21'W,30°46'N / 96°59'W,31.70 Miles,33 Yards,0,0,250K,0,Bastrop
40.8,1/14/1991,2,29°59'N / 97°12'W,30°02'N / 97°08'W,5.00 Miles,60 Yards,0,0,250K,0,Bastrop
41.1,4/28/1953,3,30°00'N / 97°10'W,,0.50 Mile,200 Yards,0,3,25K,0,Bastrop
41.1,5/18/1965,2,30°00'N / 97°10'W,,1.00 Mile,17 Yards,0,0,3K,0,Bastrop
41.4,3/10/1973,3,30°44'N / 98°14'W,30°49'N / 98°09'W,7.80 Miles,250 Yards,0,40,0K,0,Burnet
43.5,4/26/1957,2,29°41'N / 97°39'W,,,,0,0,3K,0,Caldwell
43.7,5/6/1955,2,30°47'N / 97°16'W,30°44'N / 97°13'W,4.90 Miles,100 Yards,0,0,250K,0,Milam
44,5/6/1969,3,30°07'N / 98°34'W,30°17'N / 98°24'W,15.20 Miles,100 Yards,0,2,25K,0,Blanco
44.3,8/4/1961,2,29°42'N / 97°31'W,,0.10 Mile,100 Yards,0,3,3K,0,Caldwell
44.4,5/5/1976,2,30°57'N / 97°46'W,,0.50 Mile,33 Yards,0,0,3K,0,Bell
46,5/7/1975,2,30°43'N / 98°22'W,,,,0,0,250K,0,Travis
46.3,8/10/1980,2,30°06'N / 98°25'W,30°08'N / 98°35'W,10.40 Miles,33 Yards,0,0,25.0M,0,Blanco
46.7,5/21/1966,2,29°42'N / 98°06'W,,2.00 Miles,880 Yards,0,0,0K,0,Cottle
47.1,5/1/1967,2,29°39'N / 97°58'W,,0.50 Mile,20 Yards,0,0,3K,0,Guadalupe
48.2,12/2/1953,3,30°30'N / 96°58'W,30°32'N / 97°00'W,3.30 Miles,100 Yards,0,4,25K,0,Lee
48.4,4/30/1954,2,30°06'N / 96°58'W,30°08'N / 96°59'W,3.00 Miles,880 Yards,0,2,250K,0,Lee
48.5,10/11/1973,2,29°45'N / 97°15'W,29°46'N / 97°15'W,1.10 Miles,50 Yards,0,1,25K,0,Fayette
48.8,11/15/1987,2,30°11'N / 96°57'W,,1.50 Miles,200 Yards,0,8,2.5M,0,Lee
49.1,5/26/1976,2,31°01'N / 97°42'W,,,,0,0,0K,0,Bell
50,6/1/1962,2,30°39'N / 97°01'W,,0.50 Mile,50 Yards,0,0,0K,0,Milam
