Distance (miles),Date,Magnitude,Start Lat/Log,End Lat/Log,Length,Width,Fatalities,Injuries,Property Damage,Crop Damage,Affected County
,,"Brief Description: A tornado touched down west of Circleville, pulling a small shed off of its foundation and destroying a section of a construction building. after this, the tornado lifted and then touched down in a more developed area in town. It destroyed a building housing two businesses and ripped the roof off of a section of a strip mall, ejecting furniture from inside the structure. A large sign weighing several hundred pounds was ripped from its foundation and blown twenty feet away. A tractor trailer with a load of 18 to 19 tons was blown over and dragged ten feet away from where it landed. The tornado then proceeded to a housing development where several homes were destroyed, several roofs ripped off, and garages either destroyed or moved from their foundations. Trees were twisted and broken off at their bases and carports were also torn from nearby houses. A cold front pushed east from Illinois and Indiana during the afternoon hours and combined with a vigorous upper level disturbance that dropped into the Ohio Valley from the lower Great Lakes region. These factors prompted a squall line to develop ahead of the cold front that moved southeast through the Wilmington Ohio (ILN) county warning area before entering northeast Kentucky and southeast Ohio.",,,,,,,,,
26.5,6/11/1957,2,40°18'N / 82°42'W,,0.50 Mile,100 Yards,0,0,25K,0,Knox
27.1,5/22/1958,2,39°35'N / 82°58'W,39°37'N / 82°48'W,9.00 Miles,30 Yards,0,3,250K,0,Pickaway
29,2/22/1971,2,39°37'N / 83°15'W,,2.00 Miles,100 Yards,0,0,25K,0,Fayette
29.7,4/11/1965,2,40°23'N / 83°15'W,40°25'N / 83°01'W,12.30 Miles,400 Yards,4,35,2.5M,0,Delaware
30.4,5/10/1973,3,40°01'N / 83°36'W,39°55'N / 83°31'W,8.00 Miles,300 Yards,0,4,3K,0,Clark
30.4,5/10/1973,3,39°55'N / 82°30'W,39°55'N / 82°20'W,8.70 Miles,300 Yards,0,1,3K,0,Perry
30.6,4/11/1965,2,40°22'N / 83°16'W,40°23'N / 83°15'W,,,0,5,25K,0,Union
31,11/27/1965,2,40°02'N / 82°27'W,40°06'N / 82°22'W,5.90 Miles,300 Yards,0,1,250K,0,Licking
31.7,4/11/1965,2,40°25'N / 83°01'W,40°28'N / 82°50'W,9.90 Miles,400 Yards,0,22,2.5M,0,Morrow
31.9,5/31/1985,3,40°10'N / 82°43'W,40°14'N / 82°11'W,27.00 Miles,150 Yards,1,20,25.0M,0,Licking
35,7/22/1958,2,40°05'N / 82°25'W,40°04'N / 82°15'W,8.60 Miles,200 Yards,0,0,25K,0,Licking
35.5,8/25/1998,2,40°14'N / 82°29'W,40°10'N / 82°16'W,10.00 Miles,250 Yards,0,0,300K,0,Licking
,,"Brief Description: A tornado knocked down numerous trees, destroyed 2 barns, and caused significant damage to 4 homes.",,,,,,,,,
35.7,11/16/1965,2,40°12'N / 83°36'W,,0.20 Mile,33 Yards,0,4,25K,0,Champaign
35.8,3/10/1986,2,39°29'N / 83°34'W,39°42'N / 83°17'W,22.00 Miles,100 Yards,1,0,2.5M,0,Fayette
36.1,6/13/1981,2,39°53'N / 82°19'W,,2.00 Miles,250 Yards,0,2,250K,0,Perry
36.4,8/21/1960,2,40°30'N / 83°11'W,40°30'N / 83°05'W,4.50 Miles,880 Yards,0,0,25K,0,Marion
36.8,4/3/1974,5,39°47'N / 83°43'W,39°55'N / 83°36'W,10.90 Miles,533 Yards,0,0,2.5M,0,Clark
37.5,8/8/1979,2,40°31'N / 83°08'W,,1.20 Miles,50 Yards,0,0,250K,0,Marion
37.7,6/13/1981,3,40°30'N / 82°54'W,40°33'N / 82°51'W,3.80 Miles,350 Yards,4,56,25.0M,0,Morrow
38.2,9/16/2010,2,39°45'N / 82°24'W,39°45'N / 82°16'W,7.00 Miles,800 Yards,0,1,500K,0K,Perry
,,"Brief Description: EVENT NARRATIVE: This tornado originiated in Fairfield County, but got stronger in western Perry County. The damage path widened as it crossed several north to south oriented roads. A convergent damage pattern was evident. Large trees were snapped along Avalon Road. A greater swath of tree and structural damage was along Otterbein Road. The damage path widened to as much as 800 yards, though the southern portion of the path was dominant. The tornado unleashed it worst winds as it continued east to encounter Palomino Road and County Township Road 138. At this stage, there was aproximately a 1 mile long and 100 yard wide path of EF2 strength winds, estimated at 110 to 120 mph. A manufactured home on Palomino Road was missing 95 percent of it roof covering and 40 to 50 percent of the roof supports and interior ceilings were missing. The woman inside was injured when a hallway door struck her in the back. There were at least 2 eyewitnesses to the actual tornado. Almost a mile east on County Township Road 138 a cluster of houses was heavily damaged. The worst damage was a newer 2 story single family home, but seemed to be of the manufactured home quality. Its roof and garage were completely blown off and thrown away. The tornado began to weaken as it headed across County Road 25. The tornado further weakened during its final 1.5 miles, ending near the intersection of County Roads 122, 123, and 134. About 8 homes were destroyed in this tornado. EPISODE NARRATIVE: A cold front, in tandem with strong mid and upper level forcing, produced a severe weather outbreak in southeast Ohio into extreme western West Virginia during the late afternoon and evening of Thursday the 16th. The setup featured a 45 knot mid level flow and a 95 knot upper level jet. Matter of fact, a larger area of showers, associated with a warm front, had moved across southeast Ohio and West Virginia during the morning and midday hours. This kept the surface based instability at a minimum. However, new cells formed further west during the mid afternoon over western Ohio. It was this new cluster of convection that would intensify due to the strong mid and upper level dynamics. Several of the new cells formed and intensified on the southern or southwestern flank of the overall larger area of showers and thunderstorms. This area of convection stretched further to the northeast into eastern Ohio and western Pennsylvania. This allowed an unimpeded low level moisture inflow into the new development. Surface dew points ahead of the cold front reached into the mid 60s. Most of the severe thunderstorms exhibited strong rotation, resulting in the spawning of 5 tornadoes. Four of these 5 tornadoes were in Ohio. One of the 4 Ohio tornadoes crossed from Fairfield County into western Perry County. Another 1 of the 4 crossed from Perry into northwestern Morgan County. One tornado patch was solely in western Athens County. The damage continued another 10 miles in Athens County from a strong rear flank downdraft. Finally, the last of the 4 tornadoes in Ohio crossed the Ohio River from northeastern Meigs County into southern Wood County in West Virginia. From storm surveys, this was the strongest tornado. The last tornado path in this outbreak was solely in western West Virginia. Luckily, there were no fatalities in southeastern Ohio. However, there was one death on the West Virginia side of the Ohio River.",,,,,,,,,
38.4,11/15/1989,2,40°26'N / 82°56'W,40°36'N / 82°37'W,21.00 Miles,73 Yards,0,0,2.5M,0,Morrow
39,4/2/1970,2,40°24'N / 82°29'W,,2.00 Miles,150 Yards,0,1,250K,0,Knox
39,3/31/1982,2,40°24'N / 82°29'W,,1.00 Mile,200 Yards,0,4,250K,0,Knox
39,11/10/2002,3,40°21'N / 83°33'W,40°21'N / 83°33'W,2.00 Miles,300 Yards,0,0,30K,0,Logan
,,"Brief Description: The tornado touched down across the extreme eastern part of the county and moved northeast, continuing into Union County. Two semi trailers and a shed roof were damaged.",,,,,,,,,
39,5/14/1970,2,40°30'N / 82°45'W,40°32'N / 82°43'W,3.00 Miles,700 Yards,0,7,250K,0,Morrow
39.1,5/13/1970,2,40°33'N / 82°56'W,,,,0,5,3K,0,Morrow
39.2,5/6/1971,2,40°31'N / 83°12'W,40°34'N / 83°04'W,7.40 Miles,150 Yards,0,3,250K,0,Marion
39.6,11/10/2002,3,40°23'N / 83°32'W,40°26'N / 83°27'W,7.00 Miles,300 Yards,0,2,500K,0,Union
,,"Brief Description: The tornado moved into the northwest part of the county from Logan County, tracking northeast across rural areas. Nine homes were damaged, four of which were completely destroyed. Half a dozen barn and sheds were destroyed. A 400-foot metal hi-tension cellular tower was toppled and destroyed and numerous cars were totalled. The worst damage occurred to a modular home along Newton-Perkins Road. Two individuals in the home were severely injured.",,,,,,,,,
39.9,5/10/1973,3,40°14'N / 83°50'W,40°01'N / 83°36'W,19.20 Miles,300 Yards,0,0,3K,0,Champaign
41.3,11/16/1965,3,39°30'N / 83°29'W,39°30'N / 83°24'W,3.80 Miles,100 Yards,0,4,250K,0,Fayette
42.3,4/3/1982,2,40°30'N / 82°33'W,,0.80 Mile,50 Yards,0,9,250K,0,Knox
42.8,9/14/1990,2,39°29'N / 83°34'W,39°32'N / 83°26'W,7.00 Miles,200 Yards,0,0,2.5M,0,Fayette
43.7,6/13/1958,2,40°06'N / 83°50'W,40°09'N / 83°45'W,5.10 Miles,33 Yards,0,0,250K,0,Champaign
45.6,7/22/1958,2,40°04'N / 82°15'W,40°07'N / 82°01'W,12.60 Miles,33 Yards,0,3,0K,0,Muskingum
45.6,6/22/1990,2,40°36'N / 82°40'W,40°35'N / 82°37'W,3.00 Miles,200 Yards,0,1,2.5M,0,Morrow
46.6,2/25/1956,2,39°44'N / 83°48'W,,0.30 Mile,30 Yards,0,0,250K,0,Greene
46.9,5/31/1985,3,40°14'N / 82°11'W,40°14'N / 82°08'W,2.00 Miles,150 Yards,0,0,25.0M,0,Coshocton
46.9,5/14/1970,2,40°17'N / 83°47'W,,3.00 Miles,350 Yards,0,0,250K,0,Logan
47.3,4/19/1963,2,39°49'N / 83°51'W,,,,0,0,250K,0,Greene
47.3,5/23/2000,2,40°40'N / 82°54'W,40°40'N / 82°54'W,3.00 Miles,200 Yards,0,0,200K,0,Marion
,,Brief Description: A tornado touched down near Lyons Road approximately four miles west of the Town of Martel. The observed damage path was approximately three miles in length and was oriented west to east. The width of the path varied between 100 and 200 yards. Five homes were damaged and two mobile homes destroyed. One of the mobile homes was found wrapped around a large tree.,,,,,,,,,
47.5,5/26/1962,2,39°18'N / 82°54'W,,,,0,0,25K,0,Ross
47.6,7/5/1980,2,40°40'N / 82°51'W,,0.20 Mile,33 Yards,0,1,25K,0,Morrow
47.9,11/15/1989,2,40°36'N / 82°37'W,40°38'N / 82°36'W,2.00 Miles,73 Yards,0,0,2.5M,0,Richland
48.2,5/10/1973,2,40°42'N / 83°07'W,40°40'N / 82°51'W,13.90 Miles,267 Yards,0,0,3K,0,Marion
48.6,5/10/1973,2,40°40'N / 82°51'W,40°38'N / 82°31'W,17.30 Miles,267 Yards,0,0,3K,0,Morrow
48.8,7/2/1997,2,39°41'N / 83°49'W,39°41'N / 83°49'W,0.20 Mile,300 Yards,0,0,50K,0,Greene
,,"Brief Description: A brief tornado developed in the apex of a bow echo that moved across the county. A house was blown off its foundation and moved 35 feet away. A low pressure system with an unusually strong mid and upper level jet streak was moving across the Great Lakes with an associated cold front moving across the upper Ohio valley. Thunderstorms developed across Indiana and moved into West-Central Ohio around mid-afternoon with a distinct bow echo causing wind damage from near to Lima to southeast of Columbus. On the southern edge of the first line of storms, a supercell developed over Central Indiana. This storm evolved into a bow echo and swept across the Dayton metro area causing extensive wind damage and a brief tornado in Greene county. Another supercell developed near Cincinnati and moved southeastward along the Ohio River. This storm produced the F3 tornado in Clermont county.",,,,,,,,,
49.7,6/8/1981,2,40°32'N / 82°25'W,40°32'N / 82°20'W,3.80 Miles,50 Yards,0,2,250K,0,Knox
