Fuel Type Code	Station Name	Street Address	Intersection Directions	City	State	ZIP	Plus4	Station Phone	Status Code	Expected Date	Groups With Access Code	Access Days Time	Cards Accepted	BD Blends	NG Fill Type Code	NG PSI	EV Level1 EVSE Num	EV Level2 EVSE Num	EV DC Fast Count	EV Other Info	EV Network	EV Network Web	Geocode Status	Latitude	Longitude	Date Last Confirmed	ID	Updated At	Owner Type Code	Federal Agency ID	Federal Agency Name	Open Date	Hydrogen Status Link	NG Vehicle Class	LPG Primary	E85 Blender Pump	EV Connector Types	Country	Intersection Directions (French)	Access Days Time (French)	BD Blends (French)	Groups With Access Code (French)	Hydrogen Is Retail	Access Code	Access Detail Code	Federal Agency Code
E85	Kroger Fuel Center #384	8421 Winton Rd		Cincinnati	OH	45231		513-728-8637	E		Public	"6am-11pm M-Sat, 7am-11pm Sun"	A Cash D M V Voyager Wright_Exp										GPS	39.219492	-84.518753	3/7/19	30537	2019-03-07 18:17:18 UTC	P			2/15/07				FALSE		US				Public		public		
E85	Schild's IGA Supercenter	171 Milan Ave		Norwalk	OH	44857		419-668-5156	E		Public	"7am-10pm M-F, 7am-9pm Sat-Sun"	A Cash D M V Voyager										200-9	41.256023	-82.612442	3/8/18	30704	2019-01-17 00:33:46 UTC	P			11/15/06				FALSE		US				Public		public		
E85	Kroger Fuel Center #815	3637 S High St	Station is next to Pizza Hut.	Columbus	OH	43207		614-492-1077	E		Public	6am-10pm daily	A Cash D M V Voyager Wright_Exp										200-9	39.88777	-83.001492	3/7/19	31059	2019-03-07 18:17:18 UTC	P			4/15/07				FALSE		US				Public		public		
E85	Kroger Fuel Center #844	175 Lancaster Pike		Circleville	OH	43113		740-477-5700	E		Public	6am-10pm daily	A Cash D M V Voyager Wright_Exp										200-9	39.59831	-82.931835	3/7/19	31083	2019-03-07 18:17:18 UTC	P			3/15/07				FALSE		US				Public		public		
E85	Kroger Fuel Center #842	5965 Hoover Rd		Grove City	OH	43123		614-277-3400	E		Public	6am-12am daily	A Cash D M V Voyager Wright_Exp										200-9	39.841062	-83.074909	3/7/19	31084	2019-03-07 18:17:18 UTC	P			2/15/07				FALSE		US				Public		public		
E85	Kroger Fuel Center #538	1045 Hill Rd N		Pickerington	OH	43147		614-759-2761	E		Public - Credit card after hours	6am-12am daily	A Cash D M V Voyager Wright_Exp										200-9	39.906595	-82.778898	3/7/19	31085	2019-03-07 18:17:18 UTC	P			3/15/07				FALSE		US				Public - Carte de crédit après les heures d'ouverture		public	CREDIT_CARD_AFTER_HOURS	
E85	Kroger Fuel Center #895	7545 Sylvania Ave		Sylvania	OH	43560		419-841-2737	E		Public	6am-11pm daily	A Cash D M V Voyager Wright_Exp										GPS	41.68665116	-83.72430274	2/6/19	31239	2019-02-06 20:42:36 UTC	P			8/15/06				FALSE		US				Public		public		
E85	Kroger Fuel Center #511	4925 Jackman Rd		Toledo	OH	43613		419-407-4891	E		Public	6am-11pm daily	A Cash D M V Voyager Wright_Exp										200-9	41.704735	-83.586703	3/7/19	31240	2019-03-07 18:17:18 UTC	P			5/15/07				FALSE		US				Public		public		
E85	Kroger Fuel Center #355	3760 Paxton Ave		Cincinnati	OH	45209		513-871-4142	E		Public - Credit card after hours	7am-11pm daily	A Cash D M V Voyager Wright_Exp										200-9	39.14602	-84.429112	3/7/19	31247	2019-03-07 18:17:18 UTC	P			2/15/07				FALSE		US				Public - Carte de crédit après les heures d'ouverture		public	CREDIT_CARD_AFTER_HOURS	
E85	Kroger Fuel Center #395	1001 Cherry St		Blanchester	OH	45107		937-783-0240	E		Public	"5am-12am M-Sat, 7am-12am Sun"	A Cash D M V Voyager Wright_Exp										200-9	39.300984	-83.960963	3/7/19	31248	2019-03-07 18:17:18 UTC	P			5/15/07				FALSE		US				Public		public		
E85	Kroger Fuel Center #519	1585 Georgesville Square Dr		Columbus	OH	43228		614-675-2064	E		Public - Credit card after hours	6am-12am daily	A Cash D M V Voyager Wright_Exp										GPS	39.920536	-83.120197	3/7/19	31249	2019-03-07 18:17:18 UTC	P			3/15/07				FALSE		US				Public - Carte de crédit après les heures d'ouverture		public	CREDIT_CARD_AFTER_HOURS	
E85	Kroger Fuel Center #436	5830 Harrison Rd		Cincinnati	OH	45248		513-574-2810	E		Public	"6am-11pm M-Sat, 7am-11pm Sun"	A Cash D M V Voyager Wright_Exp										200-9	39.174442	-84.639666	3/7/19	31250	2019-03-07 18:17:18 UTC	P			6/15/07				FALSE		US				Public		public		
E85	Kroger Fuel Center #435	6388 Branch Hill-Guinea Pike		Loveland	OH	45140		513-697-4828	E		Public	6am-11pm daily	A Cash D M V Voyager Wright_Exp										200-9	39.229517	-84.254521	3/7/19	31251	2019-03-07 18:17:18 UTC	P			2/15/07				FALSE		US				Public		public		
E85	Kroger Fuel Center #939	27386 Carronade Dr		Perrysburg	OH	43551		419-873-1043	E		Public - Credit card after hours	6am-11pm daily	A Cash D M V Voyager Wright_Exp										200-9	41.546316	-83.597459	3/8/18	31252	2019-01-17 00:33:46 UTC	P			11/15/17				FALSE		US				Public - Carte de crédit après les heures d'ouverture		public	CREDIT_CARD_AFTER_HOURS	
E85	Kroger Fuel Center #754	4506 Brandt Pike		Dayton	OH	45424		937-233-8843	E		Public	"6am-11pm M-Sat, 7am-11pm Sun"	A Cash D M V Voyager Wright_Exp										200-9	39.817421	-84.12549	3/7/19	31375	2019-03-07 18:17:18 UTC	P			3/15/07				FALSE		US				Public		public		
E85	Kroger Fuel Center #617	4633 Suder Ave		Toledo	OH	43611		419-727-2660	E		Public	24 hours daily	A Cash D M V Voyager										200-9	41.705818	-83.500181	3/7/19	31530	2019-03-07 18:17:18 UTC	P			3/15/07				FALSE		US				Public		public		
E85	Kroger Fuel Center #914	751 W Market St		Troy	OH	45373		937-339-7774	E		Public	6am-11pm daily	A Cash D M V										200-8	40.029563	-84.220637	3/8/18	31531	2019-01-17 00:33:46 UTC	P			3/15/07				FALSE		US				Public		public		
E85	Kroger Fuel Center #835	2728 E Main St		Springfield	OH	45503		937-525-6750	E		Public	"6am-11pm M-Sat, 7am-11pm Sun"	A Cash D M V Voyager Wright_Exp										200-9	39.923497	-83.765659	3/7/19	31544	2019-03-07 18:17:18 UTC	P			3/15/07				FALSE		US				Public		public		
E85	Kroger Fuel Center #867	2525 Hilliard-Rome Rd		Hilliard	OH	43026		614-771-4174	E		Public	6am-10pm daily	A Cash D M V Voyager Wright_Exp										200-9	40.002159	-83.155913	3/7/19	31676	2019-03-07 18:17:18 UTC	P			3/15/07				FALSE		US				Public		public		
E85	Circle K Store	6008 Secor Rd		Toledo	OH	43613		419-471-1231	E		Public	24 hours daily	A Cash D FuelMan M V Wright_Exp										200-9	41.724156	-83.623786	3/8/18	32103	2019-01-17 00:33:46 UTC	P			6/15/06				FALSE		US				Public		public		
E85	K&W Sunoco - Dogwood Crossing	4400 Coonpath Rd NW		Carroll	OH	43112		740-756-7581	E		Public	24 hours daily	A Cash D M V Voyager Wright_Exp										200-9	39.772772	-82.6839	3/8/18	32447	2019-01-17 00:33:46 UTC	P			6/15/07				FALSE		US				Public		public		
E85	Kroger Fuel Center #518	1240 Park Ave W		Mansfield	OH	44906		419-528-1860	E		Public	6am-11pm daily	A Cash D M V Voyager Wright_Exp										200-9	40.759734	-82.560901	3/7/19	32448	2019-03-07 18:17:18 UTC	P			4/15/07				FALSE		US				Public		public		
E85	Kroger Fuel Center #581	7625 Sawmill Rd		Dublin	OH	43016		614-923-2333	E		Public	6am-10pm daily	A Cash D M V Voyager Wright_Exp										200-9	40.121366	-83.092463	3/7/19	32463	2019-03-07 18:17:18 UTC	P			8/15/07				FALSE		US				Public		public		
E85	Kroger Fuel Center #839	1177 Polaris Pkwy		Columbus	OH	43240		614-430-2440	E		Public	6am-10pm daily	A Cash D M V Voyager										200-9	40.140054	-82.990639	3/7/19	32684	2019-03-07 18:17:18 UTC	P			9/15/07				FALSE		US				Public		public		
E85	Rocky's Drive Thru	560 Norton Ave		Barberton	OH	44023		330-745-9799	E		Public	6am-1am daily	A Cash D M V										200-9	41.024088	-81.609843	3/8/18	32917	2019-01-17 00:33:46 UTC	P			11/15/07				FALSE		US				Public		public		
E85	Meijer Gas #143	8872 Columbus Pike	US Route 23	Lewis Center	OH	43035		740-548-0029	E		Public	24 hours daily	A Cash Checks D M V Voyager Wright_Exp										GPS	40.16083	-83.019756	3/8/18	32974	2019-01-17 00:33:46 UTC	P			2/15/08				FALSE		US				Public		public		
E85	Meijer Gas #111	2153 Marion-Mount Gilead Rd		Marion	OH	43302		740-389-0529	E		Public	24 hours daily	A Cash Checks D M V Voyager Wright_Exp										200-9	40.581481	-83.073608	3/8/18	32975	2019-01-17 00:33:46 UTC	P			11/15/07				FALSE		US				Public		public		
E85	Meijer Gas #117	7240 W Central Ave		Toledo	OH	43617		419-843-8329	E		Public	24 hours daily	A Cash Checks D M V Voyager Wright_Exp										200-8	41.673723	-83.716653	3/8/18	32976	2019-01-17 00:33:46 UTC	P			2/15/08				FALSE		US				Public		public		
E85	Meijer Gas #112	1900 W Main St		Troy	OH	45373		937-332-0529	E		Public	24 hours daily	A Cash Checks D M V Voyager Wright_Exp										200-9	40.05497	-84.243111	3/8/18	32977	2019-01-17 00:33:46 UTC	P			6/15/08				FALSE		US				Public		public		
E85	Meijer Gas #156	2029 E Wooster St		Bowling Green	OH	43402		419-373-8629  419-373-8600	E		Public	24 hours daily	A Cash Checks D M V Voyager Wright_Exp										200-9	41.375161	-83.609274	3/8/18	32981	2019-01-17 00:33:46 UTC	P			2/15/08				FALSE		US				Public		public		
E85	Meijer Gas #246	7685 Kings Crossing		Canal Winchester	OH	43110		614-920-7229	E		Public	24 hours daily	A Cash Checks D M V Voyager Wright_Exp										GPS	39.846148	-82.778979	3/8/18	32982	2019-01-17 00:33:46 UTC	P			2/15/08				FALSE		US				Public		public		
E85	Meijer Gas #114	5030 N Hamilton Rd		Columbus	OH	43230		614-855-4929	E		Public	24 hours daily	A Cash Checks D M V Voyager Wright_Exp										200-9	40.060792	-82.863024	3/8/18	32983	2019-01-17 00:33:46 UTC	P			2/15/08				FALSE		US				Public		public		
E85	Meijer Gas #106	9210 N Main St		Dayton	OH	45415		937-832-5129	E		Public	24 hours daily	A Cash Checks D M V Voyager Wright_Exp										200-9	39.858152	-84.278231	3/8/18	32984	2019-01-17 00:33:46 UTC	P			11/15/07				FALSE		US				Public		public		
E85	Meijer Gas #61	3651 Towne Blvd		Franklin	OH	45005		513-420-3929	E		Public	24 hours daily	A Cash Checks D M V Voyager Wright_Exp										200-9	39.499515	-84.331438	3/8/18	32985	2019-01-17 00:33:46 UTC	P			11/15/07				FALSE		US				Public		public		
E85	Meijer Gas #234	2859 London-Groveport Rd		Grove City	OH	43123		614-801-4329	E		Public	24 hours daily	A Cash Checks D M V Voyager Wright_Exp										200-9	39.839073	-83.08195	3/8/18	32986	2019-01-17 00:33:46 UTC	P			2/15/08				FALSE		US				Public		public		
E85	Meijer Gas #241	7266 Executive Blvd		Huber Heights	OH	45424		937-237-4629	E		Public	24 hours daily	A Cash Checks D M V Voyager Wright_Exp										200-9	39.869752	-84.100674	3/8/18	32987	2019-01-17 00:33:46 UTC	P			2/15/08				FALSE		US				Public		public		
E85	Meijer Gas #51	2200 Tiffin Ave		Findlay	OH	45840		419-427-4029	E		Public	24 hours daily	A Cash Checks D M V Voyager Wright_Exp										200-9	41.056709	-83.600395	3/8/18	33283	2019-01-17 00:33:46 UTC	P			8/15/08				FALSE		US				Public		public		
E85	Tom's Marathon	9959 Harrison Rd	At exit 3 off I-74.	Harrison	OH	45030		513-367-1220	E		Public	"5am-11pm M-F, 6:30am-11pm Sat-Sun"	A Cash D M V Voyager Wright_Exp										200-9	39.240082	-84.773471	3/8/18	33284	2019-01-17 00:33:46 UTC	P			8/28/08				FALSE		US				Public		public		
BD	K&W Sunoco - Dogwood Crossing	4400 Coonpath Rd NW		Carroll	OH	43112		740-756-7581	E		Public	24 hours daily	A Cash D M V Voyager Wright_Exp	B20									200-9	39.772772	-82.6839	3/8/18	33480	2019-01-17 00:33:46 UTC	P			10/15/08						US				Public		public		
E85	Glockner Oil - Pacific Pride	4407 US Highway 23		Piketon	OH	45601		740-289-2979	E		Public - Card key at all times	24 hours daily	Comdata FuelMan PacificPride Tchek Voyager Wright_Exp										GPS	39.020929	-83.027401	3/8/18	33860	2019-01-17 00:33:46 UTC	P			10/1/07				FALSE		US				Public - Carte-clé en tout temps		public	KEY_ALWAYS	
E85	In & Out Mart	5566 Alexis Rd		Sylvania	OH	43560		419-882-8125	E		Public - Credit card after hours	"7am-11pm Sun-Th, 7am-12am F-Sat"	A Cash D M V Wright_Exp										200-9	41.716719	-83.677539	3/8/18	33861	2019-01-17 00:33:46 UTC	P			1/15/09				FALSE		US				Public - Carte de crédit après les heures d'ouverture		public	CREDIT_CARD_AFTER_HOURS	
E85	Kroger Fuel Center #965	5991 Sunbury Rd		Westerville	OH	43081		614-895-1500	E		Public	6am-10pm daily	A Cash D M V Wright_Exp										200-8	40.160558	-82.878685	3/8/18	33862	2019-01-17 00:33:46 UTC	P			9/8/08				FALSE		US				Public		public		
E85	Newton's Service & Parts	601 N Main St		Columbiana	OH	44408		330-482-9481	E		Public - Credit card after hours	"7am-6pm M-F, 7am-3pm Sat"	A Cash Checks D M V Voyager										200-9	40.898714	-80.696513	3/8/18	35836	2019-01-17 00:33:46 UTC	P			1/15/09				FALSE		US				Public - Carte de crédit après les heures d'ouverture		public	CREDIT_CARD_AFTER_HOURS	
BD	Heritage Co-op	304 Bloomfield Ave		Urbana	OH	43078		937-652-2135  800-424-2584	E		Public - Credit card after hours	7:30am-4:30pm M-F	A Cash D M V Voyager Wright_Exp	B20									200-9	40.119762	-83.746956	12/11/18	36556	2019-01-17 00:33:46 UTC	P			10/15/08						US				Public - Carte de crédit après les heures d'ouverture		public	CREDIT_CARD_AFTER_HOURS	
CNG	City of Columbus - Fleet Management	4211 Groves Rd	I-70 and Rt 317 (Hamilton Rd S)	Columbus	OH	43232		614-645-8281  614-900-7470	E		Public - Credit card at all times	24 hours daily; call 614-645-8333 for after hour access; security fobs are available for sale to allow access after hours; email cng@columbus.gov for more information	M V		Q	3600							200-9	39.930318	-82.885496	3/7/19	36584	2019-03-07 18:17:18 UTC	LG			4/17/12		HD				US				Public - Carte de crédit en tout temps		public	CREDIT_CARD_ALWAYS	
ELEC	Baker Electric Building	7100 Euclid Ave	Euclid Avenue and E 71st St	Cleveland	OH	44103		216-407-7580	E		Public	24 hours daily						1					200-9	41.503373	-81.639054	3/7/19	37097	2019-03-07 18:17:18 UTC	P			12/15/10					J1772	US				Public		public		
BD	BP	3550 Enterprise Ave		Columbus	OH	43228		740-928-8215	E		Public - Credit card at all times	24 hours daily	A D M V Voyager Wright_Exp	B20									200-9	39.969692	-83.098267	3/8/18	37113	2019-01-17 00:33:46 UTC	P			6/10/10						US				Public - Carte de crédit en tout temps		public	CREDIT_CARD_ALWAYS	
E85	Meijer Gas #249	1380 Sunbury Rd		Delaware	OH	43015		740-368-1400	E		Public	24 hours daily	A Cash Checks D M V Voyager Wright_Exp										200-9	40.290455	-83.031382	3/8/18	38061	2019-01-17 00:33:46 UTC	P			1/15/11				FALSE		US				Public		public		
E85	Blanchard Valley Farmers Co-op	642 W Lytle St		Fostoria	OH	44830		419-435-4763	E		Public - Credit card at all times	24 hours daily	A D M V										200-8	41.150372	-83.427895	3/8/18	38501	2019-01-17 00:33:46 UTC	P			3/15/11				FALSE		US				Public - Carte de crédit en tout temps		public	CREDIT_CARD_ALWAYS	
E85	Sunoco - PS Food Mart	552 Illinois Ave		Maumee	OH	43537		419-891-9046	E		Public	24 hours daily	A Cash D FleetOne FuelMan M V Voyager Wright_Exp										200-8	41.569008	-83.671324	11/8/18	39704	2019-01-17 00:33:46 UTC	P			7/11/11				FALSE		US				Public		public		
E85	Speedway #5238	955 S Galloway Rd		Columbus	OH	43119		614-870-2116	E		Public	24 hours daily	A Cash D M V Voyager Wright_Exp										200-9	39.931302	-83.160276	3/7/19	40326	2019-03-07 18:17:18 UTC	P			6/3/11				FALSE		US				Public		public		
ELEC	Cuyahoga Community College - Advanced Automotive Technology Center	11000 Pleasant Valley Rd		Parma	OH	44130		216-987-5330	E		Public	7am-10pm daily						2					GPS	41.36684	-81.7638	3/7/19	40613	2019-03-07 18:17:18 UTC	P			8/1/14					J1772	US				Public		public		
E85	Speedway #1129	364 E Main St		Newark	OH	43055		740-349-7201	E		Public	24 hours daily	A Cash D M V Voyager Wright_Exp										200-9	40.05972	-82.386964	3/7/19	40895	2019-03-07 18:17:18 UTC	P			7/1/11				FALSE		US				Public		public		
CNG	CNG Trans	2727 Brice Rd		Reynoldsburg	OH	43068		614-398-3401	E		Public - Credit card at all times	24 hours daily	D M V Wright_Exp		Q	3600							200-9	39.925631	-82.832025	3/7/19	41634	2019-03-07 18:17:18 UTC	P			4/20/12		HD				US				Public - Carte de crédit en tout temps		public	CREDIT_CARD_ALWAYS	
CNG	Clean Energy - Cleveland Hopkins International Airport	18899 Snow Rd		Brook Park	OH	44142		866-809-4869	E		Public - Credit card at all times	24 hours daily; call 866-809-4869 for Clean Energy card	CleanEnergy D FleetOne FuelMan M V Voyager Wright_Exp		Q	3000 3600							200-9	41.402106	-81.828365	7/9/18	41678	2019-01-17 00:33:46 UTC	P			9/27/12		HD				US				Public - Carte de crédit en tout temps		public	CREDIT_CARD_ALWAYS	
CNG	Clean Energy - Stark Area Regional Transit Authority	1600 Gateway Blvd SE		Canton	OH	44707		866-809-4869  330-477-2782	E		Public - Credit card at all times	24 hours daily; call 866-809-4869 for Clean Energy card	CleanEnergy D FleetOne FuelMan M V Voyager Wright_Exp		Q	3000 3600							200-9	40.78093	-81.36797	3/7/19	41679	2019-03-07 18:17:18 UTC	P			4/15/12		MD				US				Public - Carte de crédit en tout temps		public	CREDIT_CARD_ALWAYS	
CNG	IGS CNG Services - City of Dublin	6351 Shier-Rings Rd	1/2 mile west of the intersection of Avery Rd and Shier-Rings Rd.	Dublin	OH	43016		877-742-4476	E		Public - Card key at all times	24 hours daily; special IGS/Dublin Fleet Card only. No credit card access. Call 614-659-5196 or email info@cngservices.com to arrange for card key.	Proprietor		Q	3600							200-9	40.093708	-83.162608	4/3/18	41685	2019-01-17 00:33:46 UTC	LG			6/28/12		HD				US				Public - Carte-clé en tout temps		public	KEY_ALWAYS	
CNG	Quasar	2072 Secrest Rd		Wooster	OH	44691		216-986-9999	E		Public - Credit card at all times	"7am-5pm M-F, 7am-12pm Sat; contact station to apply for Quasar card key"	D FuelMan GasCard M Proprietor V Voyager Wright_Exp		Q	3600							200-9	40.787054	-81.921468	1/10/19	41694	2019-02-26 21:13:39 UTC	P			10/1/11		HD				US				Public - Carte de crédit en tout temps		public	CREDIT_CARD_ALWAYS	
CNG	Quasar	6400 Maysville Pike		Zanesville	OH	43701		216-986-9999	E		Public - Credit card at all times	"7am-5pm M-F, 7am-12pm Sat; contact station to apply for Quasar card key"	D FuelMan GasCard M Proprietor V Voyager Wright_Exp		Q	3600							200-9	39.855534	-82.115351	1/10/19	41695	2019-02-26 21:14:08 UTC	P			4/16/12		HD				US				Public - Carte de crédit en tout temps		public	CREDIT_CARD_ALWAYS	
E85	Speedway #4275	7860 E Broad St		Blacklick	OH	43004		614-863-4348	E		Public	24 hours daily	A Cash D M V Voyager Wright_Exp										200-9	39.985838	-82.792722	3/7/19	41737	2019-03-07 18:17:18 UTC	P			11/25/11				FALSE		US				Public		public		
E85	Speedway #2034	2875 Stelzer Rd		Columbus	OH	43219		614-418-9325	E		Public	24 hours daily	A Cash D M V Voyager Wright_Exp										200-9	40.032498	-82.910586	3/7/19	41738	2019-03-07 18:17:18 UTC	P			11/15/11				FALSE		US				Public		public		
E85	Speedway #3323	1442 N Cassady Ave		Columbus	OH	43219		614-418-0042	E		Public	24 hours daily	A Cash D M V Voyager Wright_Exp										200-9	40.000413	-82.929219	3/7/19	41739	2019-03-07 18:17:18 UTC	P			11/15/11				FALSE		US				Public		public		
E85	Speedway #5333	1367 E Dayton Yellow Springs Rd	At intersection of E Dayton Yellow Springs and Trebein Rd.	Fairborn	OH	45324		937-878-2020	E		Public	24 hours daily	A Cash D M V Wright_Exp										200-9	39.785102	-83.989552	3/7/19	41740	2019-03-07 18:17:18 UTC	P			12/2/11				FALSE		US				Public		public		
E85	Speedway #9733	1351 Delaware Ave		Marion	OH	43302		740-389-5136	E		Public	24 hours daily	A Cash D M V Voyager Wright_Exp										200-9	40.564339	-83.120491	3/7/19	41741	2019-03-07 18:17:18 UTC	P			11/18/11				FALSE		US				Public		public		
E85	Speedway #9585	7300 Hamilton Rd		Mt Healthy	OH	45231		513-521-1404	E		Public	24 hours daily	A Cash D M V Wright_Exp										200-9	39.227917	-84.547983	3/7/19	41742	2019-03-07 18:17:18 UTC	P			12/6/11				FALSE		US				Public		public		
E85	Speedway #4131	2040 N Bechtle Ave		Springfield	OH	45504		937-390-6651	E		Public	24 hours daily	A Cash D M V Voyager Wright_Exp										200-9	39.952035	-83.828975	3/7/19	41743	2019-03-07 18:17:18 UTC	P			12/2/11				FALSE		US				Public		public		
E85	Speedway #3424	1475 W Market St		Troy	OH	45373		937-440-6830	E		Public	24 hours daily	A Cash D M V Voyager Wright_Exp										200-9	40.029343	-84.222818	3/7/19	41744	2019-03-07 18:17:18 UTC	P			11/18/11				FALSE		US				Public		public		
E85	Speedway #1204	6399 Refugee Rd		Canal Winchester	OH	43110		614-834-8864	E		Public	24 hours daily	A Cash D M V Voyager Wright_Exp										200-9	39.910446	-82.824963	3/7/19	42627	2019-03-07 18:17:18 UTC	P			12/30/11				FALSE		US				Public		public		
E85	Speedway #8605	5122 Turney Rd		Garfield Heights	OH	44125		216-587-4309	E		Public	"5:30am-11:30pm M-Th, 5:30am-12:30am F, 6am-12:30am Sat, 8am-11:30pm Sun"	A Cash D M V Voyager Wright_Exp										200-9	41.421992	-81.610225	3/7/19	42628	2019-03-07 18:17:18 UTC	P			11/4/11				FALSE		US				Public		public		
E85	Speedway #1848	755 E Aurora Rd		Macedonia	OH	44056		330-468-3320	E		Public	24 hours daily	A Cash D M V Voyager Wright_Exp										200-9	41.314052	-81.511859	3/7/19	42629	2019-03-07 18:17:18 UTC	P			11/4/11				FALSE		US				Public		public		
ELEC	Ohio Statehouse Parking Garage	60 E State St	"Capitol Square. Green level of garage, managed by the Capitol Square Review and Advisory Board"	Columbus	OH	43215		614-728-2564	E		Public	24 hours daily; pay lot						8					200-8	39.960356	-82.998458	3/7/19	42640	2019-03-07 18:17:18 UTC	SG			11/4/11					J1772	US				Public		public		
LNG	Clean Energy - London Pilot #454	1365 State Route 42 NE		London	OH	43140		866-809-4869	E		Public - Credit card at all times	24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGift Card	A CleanEnergy Comdata D EFS FuelMan M Speedway TCH Tchek V Voyager Wright_Exp										GPS	39.95945824	-83.3707651	10/4/18	43650	2019-01-17 00:33:46 UTC	P			2/20/15		HD				US				Public - Carte de crédit en tout temps		public	CREDIT_CARD_ALWAYS	
ELEC	Upper Valley Mall	1475 Upper Valley Pike		Springfield	OH	45504		800-663-5633	E		Public	MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified						2			SemaCharge Network	http://www.semacharge.com/	GPS	39.951075	-83.851801	3/22/19	44222	2019-03-22 09:02:51 UTC									J1772	US				Public		public		
